episode,netreward,epsilon
1,-51,0.9
2,-51,0.9
3,-51,0.9
4,-50,0.9
5,-51,0.9
6,-50,0.9
7,51,0.9
8,51,0.9
9,-50,0.9
10,-51,0.9
11,50,0.9
12,-50,0.9
13,-51,0.9
14,-51,0.9
15,50,0.896
16,-49,0.896
17,-50,0.896
18,-51,0.892
19,-51,0.888
20,-50,0.884
21,-50,0.88
22,-50,0.88
23,-50,0.876
24,-50,0.872
25,-51,0.872
26,-50,0.872
27,-50,0.872
28,-51,0.872
29,-51,0.868
30,-51,0.868
31,-51,0.868
32,-51,0.864
33,-50,0.86
34,-50,0.86
35,50,0.856
36,-51,0.852
37,51,0.852
38,-50,0.852
39,-51,0.852
40,51,0.848
41,-51,0.844
42,-50,0.844
43,-51,0.84
44,-51,0.84
45,-50,0.84
46,-51,0.836
47,-51,0.832
48,-50,0.824
49,50,0.82
50,51,0.816
51,-50,0.816
52,-50,0.816
53,-51,0.812
54,-51,0.812
55,-50,0.812
56,50,0.808
57,-51,0.808
58,-51,0.804
59,-51,0.804
60,-50,0.804
61,-51,0.8
62,-51,0.796
63,-50,0.796
64,-50,0.792
65,-50,0.792
66,51,0.784
67,-51,0.784
68,-50,0.78
69,-50,0.78
70,-51,0.78
71,-50,0.78
72,-51,0.776
73,-50,0.776
74,-50,0.772
75,-50,0.772
76,-50,0.772
77,-50,0.768
78,-51,0.764
79,-50,0.764
80,-50,0.76
81,-50,0.76
82,-51,0.752
83,-50,0.752
84,-50,0.752
85,-51,0.748
86,-51,0.744
87,-51,0.744
88,-51,0.744
89,-50,0.74
90,-51,0.74
91,-49,0.736
92,-50,0.736
93,-50,0.732
94,51,0.728
95,-50,0.728
96,-51,0.724
97,50,0.724
98,51,0.72
99,-51,0.716
100,50,0.712
101,-51,0.712
102,51,0.712
103,-51,0.708
104,51,0.708
105,-49,0.704
106,-50,0.7
107,-50,0.7
108,-50,0.7
109,-51,0.696
110,-51,0.696
111,-50,0.696
112,-50,0.696
113,-50,0.692
114,-51,0.692
115,-51,0.688
116,50,0.688
117,-50,0.688
118,-50,0.688
119,-50,0.688
120,-51,0.684
121,-49,0.684
122,-50,0.68
123,-51,0.676
124,-51,0.676
125,-50,0.676
126,-51,0.672
127,-50,0.672
128,-50,0.672
129,-50,0.672
130,-49,0.672
131,-51,0.668
132,-50,0.663999
133,-51,0.663999
134,-50,0.659999
135,-50,0.659999
136,-50,0.655999
137,-50,0.651999
138,-50,0.647999
139,-51,0.647999
140,-50,0.643999
141,-51,0.643999
142,51,0.639999
143,-51,0.635999
144,-50,0.635999
145,51,0.631999
146,-50,0.631999
147,-50,0.631999
148,-51,0.623999
149,-50,0.619999
150,-51,0.615999
151,50,0.611999
152,51,0.611999
153,50,0.611999
154,-51,0.607999
155,-51,0.607999
156,-50,0.603999
157,-51,0.603999
158,-51,0.599999
159,-50,0.599999
160,-51,0.595999
161,-51,0.595999
162,-50,0.587999
163,-50,0.587999
164,-51,0.583999
165,-50,0.583999
166,-50,0.583999
167,-51,0.583999
168,-51,0.579999
169,-50,0.579999
170,-51,0.579999
171,-50,0.575999
172,-50,0.575999
173,-50,0.575999
174,-50,0.575999
175,-51,0.575999
